pattern,Position,DeterministicFollow,DeterministicPosition,Follow,MarkBefore
(fc)*(fvzt*cfff)*,10,9,11,9,9
ilaiaual(al)*,10,10,11,10,10
(tm*)*m(lt)*m(fa)*m*f,10,11,13,8,9
(hhjj*)*(zys*yj|s)*,10,8,11,8,8
(wkkkt*)*efeke,10,10,11,10,9
qbmgmbe(bw|l)*,10,9,11,9,9
rouobuu*c|bp,10,9,11,9,8
ovowr*w|bvwr,10,9,11,9,8
g(wn*pw*(ewid*p)*)*,10,9,11,8,9
xbabi(ph)*hbz,10,10,11,10,9
(apd*eanvr|(c*c)*)*,10,8,10,8,7
nv(cwwds*nl*s)*,10,8,11,8,8
ennqfb*jzn*l*,10,9,11,9,9
zz*xiz*r*(d(w*gi)*)*,10,8,11,8,8
gsgbrkbu*k*u,10,11,11,10,10
(jjdjjddd)*jd,10,9,10,10,8
s*(psp*)*sspsps,10,18,18,9,17
(aeaaea*(ea)*ae*)*,10,18,20,9,18
ddfdf|fff(f|d),10,9,11,9,8
(dd|uu)u(uu)*|u*(u*u*)*,10,9,11,8,9
(j(j|hh)*)*h|hj*jj|h*,10,7,9,7,7
(w*d*w*|wddwwdd)*,10,7,9,7,7
dg*gddgg*(d*d*g*)*,10,8,9,7,7
(rd((dd*rrr)*|rr|r))*,10,9,10,8,9
aaa|aza|az|za,10,6,8,8,5
cz*l(czc)*ziiw,10,9,11,9,8
sdk*d|(o*k)*ffkf,10,9,11,9,8
h(qj|h|jl*)*|j*yyl*,10,7,11,7,7
i*iiutv(uv*nt)*,10,8,10,8,8
((pkf)*pp)*x*xpfy,10,8,9,10,7
(b(oo)*(ppo|fk)*|b*b)*,10,8,9,8,7
vava*qv|vhk|v,10,7,9,8,6
wwpcpwccpb*,10,10,11,10,10
mmgg|i*uumiu,10,10,11,10,9
(u|(a|p)laa)*a(nlp)*,10,8,10,7,8
(q*h|zz*hzdqqz)*,10,8,11,8,8
wj*tn|vdt*vu*n,10,7,11,7,6
q*(e|(q|p)*x|pvz)*gv,10,8,11,7,6
(w(r|k|sh)*(i|k)wia)*,10,7,10,6,7
(fqjdk|(km*xa|d)*)*,10,7,11,7,7
((gh*(gz)*)*hx*gk(z*k*)*)*,10,9,12,7,9
x(yv)*p|o(zn)*pmk,10,8,11,8,7
h|c(i|(c|c)*)*(ij)*p*bb,10,8,10,7,7
(inz)*(vs)*(v*l)*p|k*p,10,10,12,10,9
ylpka(vk(k|(y*|c)*))*,10,9,11,9,9
dxnvynktxpgkjrzan*y*xl,20,20,21,20,19
eq*acoskxvm(cw|((jj*)*ougn|gp)*)*,20,16,21,16,16
xufjgnjwabkdnlk|mciaf*,20,20,21,20,19
onppbgwszia|ay|du(fd)*qtm,20,18,21,18,17
laizcifrro(jakb*bak)*rqi,20,19,20,19,18
zkdeimhdnlpx*kairpsog,20,20,21,20,19
((abllgh(op)*)*dzb)*fjit(iv(jwr)*)*,20,18,21,18,18
rihevxzfsdnenggcjrmj,20,21,21,21,20
(pjm)*ik|ofsfytcjpdkxeud,20,20,21,20,19
odmmswuegsrcoteiwfox,20,21,21,21,20
dasqkvqnjegxebpoo|xer,20,20,21,20,19
xsxzucfpctatg|b|t|wyruh,20,18,21,18,17
oqwadbwgielbv|jyvp|c|m|w,20,17,21,17,16
nqngefd|w|dscujli|s|qcnv,20,17,21,17,16
pdfftntseablt|hcluvci,20,20,21,20,19
msibauscfjvkxosjngga,20,21,21,21,20
urjtpitwwflst|meupggn,20,20,21,20,19
vhefy|wzppg|yjwt|n|sqlco,20,17,21,17,16
yj|ichzny|fppanas|kdq|hk,20,17,21,17,16
cuvzj|qdxl|ktmfmh|hoeum,20,18,21,18,17
nfjtkmb*p(eexflwap)*yxdb,20,19,21,19,18
s*(r*a)*kbyhf*(nerirn*hydlhq)*,20,18,21,18,18
e*(pr)*cxfjkxp*vuyqwgcuzt*,20,18,21,18,18
py*jt((hf*b)*w*j)*(lffg*dqq)*ox*vq,20,16,21,16,15
mr*(aw*)*(n*niapre*t*)*fxf(q(opwq)*)*,20,16,20,17,16
xxmd*fj(b*ds*y)*mtceptzfaq,20,18,21,18,17
(v*rfm(fq)*(v*f)*yr*dr(zki*tjfco)*)*,20,17,21,17,17
(cjqku*e*dv*ag(m*f)*fw(b*h*k*a)*qn)*,20,16,21,16,16
ffvis*h(ki*qwan*xokqky)*ow,20,17,21,17,16
(mtljyn((vys(aq)*)*dx*tv*ohv(ui)*)*)*,20,17,21,17,17
(jki)*(d|(o|i)*)*(rih)*p*qj*ttyp*x|c|of,20,15,21,15,14
(eg*(k|h|z)*s*(on)*)*(mnz|mmdj)*t|eixs,20,15,20,16,14
z|wq|nb|iuqzi*g|jcz(nh(we)*ge)*,20,15,21,15,14
ev|pdugjbq|hiz((c|y)(t|i*)xqlv*)*,20,18,21,18,17
(c*bwzt)*g|qqehtont*l(ch)*j|vp*,20,17,21,17,16
x(y(i(kl)*|igxw))*f*e|x|q(t*f)*|s(s|z)(l|e)*,20,15,19,14,14
z|kh*xn((g*|eqp(m*r)*)*p(sl)*)*|wp*qwki,20,16,21,16,15
u(wqj*zb)*ae*|e|qveiwk*fyqos,20,16,21,16,15
j|gpyg(kf(ul|pr(qa*)*)*)*(hv)*swm*v*x,20,17,21,17,16
((f|a)bw*jmq*j|(s(f|u)*(jj*)*|n*eeloj*o))*,20,13,21,12,13
tmttt*|mttt(m*t)*m(mmmm)*mmtt,20,15,18,18,15
lhlhl*lhh(hhl)*|hhlhh*ll(l*h)*,20,17,20,17,17
tt(iit(ii)*iitt|tti*ii*titt*)*,20,21,23,16,21
(l*l)*lllleelll|l(l*l)*ee*l(l(ee*)*)*,20,14,16,18,13
(x((d*x(xd)*(xxxdd)*dxd|xx)*(dxxdx)*)*)*,20,52,56,17,52
zzzuuzu|((uu*z*z)*|uu|(zzu)*)*(zuuz)*,20,26,27,18,24
dp(dp)*d(d(d(pd)*dd)*)*(dpdpd*)*dd*(dp)*,20,30,34,16,30
c|c(c*gcc)*gg*gcccccgcggcc*,20,18,19,18,18
(r|(xrx)*(xrr)*rxrr*r)*(rr(x|rx)*r*x*x)*,20,44,47,16,40
offooff(o((ff*)*|fo)fofoo*)*o*ff,20,23,23,19,22
a*j(aai|w*)*la*|lww*j(ii|llj)*ili,20,14,20,15,13
(ez(f*cic)*(ei)*i*(ce)*)*eieicc*efz*,20,22,25,18,22
b(e|rrb)*(a|bm)*mr*m*ma*raremba,20,16,20,16,15
gr(zg)*u*lrrurrzurzz*u*glu,20,19,21,19,18
szysv*vyz|z(vv)*(yv(yv)*xx)*szv*,20,17,20,17,16
nww*cc|tczznnwnzw(tnt*)*(tc)*,20,20,21,19,19
wl*mjhljljh|wjmhlmjl*h*l,20,19,20,18,18
(mc*mm(mhpmhh*pih(ccc|(icph)*)*)*)*,20,17,21,17,17
n(bfbpdp|nbd)*(fdpdbp*b*)*b(bd)*,20,18,21,17,18
s*sh(v*x*h*q*x)*qv(qvq)*xsh*qxss*,20,16,20,16,15
undaedtsdeg*atugus*edt,20,19,21,19,18
(pcp)*igvgcavg(n*pp)*(v*i(ggvg)*)*,20,18,21,18,18
crjz(xzx*j|(w|f)*e*k|jce(rf*wzi)*)*,20,15,21,15,15
djv*nb*gjpbjfgfssjw(pvd)*,20,18,21,18,18
(fleein*n*dz(l(ff*)*)*)*fd*n|ni*(und)*,20,18,20,17,16
r((oh)*|rhx)*|l(xplp*)*(dw*|x)*(d(wadh|o)*)*,20,17,22,15,17
