pattern,Position,DeterministicFollow,DeterministicPosition,Follow,MarkBefore
nz|siu|jj*si(k(f|m)*)*bz*kkzbfz(m|ffbkj*)*ikkumuns*nkfz|snzjk(bnf*jk*(nu)*)*,50,39,50,40,38
(zywmaz)*((wu)*y*j*m|e)*kje*szmwzyuas*sk|(j(uu)*em)*k*jkkkwue(sj|z(yas)*s*sa*ea)*,50,47,52,43,46
aa(ge)*ca*vec(gv)*(qg)*p*pvre*k(er)*qe*eek|e(rc)*(p*pvqa*(cke)*)*gg*plqa(gk*(qcc*|c*e))*,50,37,48,39,36
kkkx(kk)*k|k|k|xx(kkxxk)*xkx|xx*xk((x*x)*kx(xk(k(xk)*)*kx)*k*k*(kx)*xx(x|(kkx)*)|xxxkxx*)*,50,78,80,41,76
n(bn*b)*b*(bb*n)*b*(bn)*(b|n*)|b*nn*n(bn*|bbbnnbn(nb)*)*bbbbnn(bnnbn((n|n)*n|bn*b*)*bnnb*b*)*,50,66,70,41,61
b(b*|bb*)h(hh*)*bhhbbhh*h*bhb*hh|h(bh*|hb(hhhb)*)*b*b*(hh)*h*bbbb*(b*h)*|b|bbbhhh*b(bh)*,50,54,61,41,48
(lwllw*lww*lwlw*l)*wllllwll(wwwll*l*)*w|(lw)*lll*lll(ww)*|lwlllll(llw(wl)*)*,50,47,51,44,46
g|dgdddggd(d*d)*ddgdg*dgggg|d*gg(dd)*ddg(g|d)gg*ddd(d(dg|(g|d)))*((dg*(gd)*)*|ggggg),50,51,55,40,46
o*k|ok|ko|kookko*oookk|oko(kok*ok(o*o*ok)*ok(k*k*k*)*o*k*kk)*k*(o(o*k)*ok(o|k)*ok*(o|k))*,50,58,68,36,56
(b*((aa|baab*bb*aa)*b(b|b)*)*bbbbab*abbb|a)*bbb(b(a|a*b)(b*|bb)|ab)aa*|(b*|ab)bbba(b|a)(a|a),50,124,131,39,113
u|umum(mum*|mu(umm)*)*uum|uuumuuu(u(mm*)*)*u(um)*|(uuuu)*(umu|u|u*m*mmuu*(u*m)*mm*|uum)*,50,129,141,42,120
lllml*mmlmm(mm)*|((m*llm|ml|(ml*)*)*(ll)*lll|lm*lmlmmmmmm*ll(mmm)*)*mmm((mm|ml)*ml)*,50,108,112,42,101
qcc|cc(qqq)*|qqcc*cqc(c*qq)*qcc*qqc(q|cq|qqq)*qqqqc|c*qc(q(cq)*c*c)*c|qq|qqqq,50,35,41,38,34
((r(rxarj)*|reaj*j(a*a*a*)*jj((ae)*|jr*)*)*|(jje(r|rar|a)a|e|jaa*xrxjj*(e*|j|a)*jxx(xe|ra)*j*j*)*)*,50,49,56,34,49
(y|(ynb)*(y*p*bbb(pnb)*y*pc*y*nnbpb)*(n*ppcyb)*(y(pn*yycb)*)*yb|(cyy|p|ybypc*n|pb*cn)*)*,50,62,70,39,62
(xqhxs|scxhcxhhqx((sh)*|ch)q(hchh*)*hx(hc)*|xcqsshcq|h|h(cx)*(sx|h*)*xc*xh|xqh)*,50,46,51,41,45
(too|r|d*ok*(ookdod*o*rd*rotkdokr(k*rd)*)*)*trttd*d(tk)*|od*r*|r*d|k|(o(dr)*)*dk*(t*r)*rk,50,60,65,39,58
(d(x*x)*|(sxy*xyy)*)*yz*s*|xzss*d*dyd*|zzsy|yyszzy(xs*((s(y|dx)*)*|ssy*))*zs*|yxzz*d((dy*)*xx*)*,50,37,47,38,35
(lq*iyq|k|iiy(iy)*l*kiy)*((l|ky*y*y*|yy*(lqy)*l|l|li)yk*iyillll)*(yq|l)*|li*|kiyi*(lkk)*,50,47,52,38,47
h|(zzrpp*)*|rz|zhz*rr(pz|fp|(rrrh*(fzrr)*)*)|h*|p(fffffff(h*p)*)*(rp(hhf)*|pz|z*zr)*(rp)*rr,50,44,52,41,41
((i*m*timz)*mzz*(i(i|n)*)*|n|izni|nzn|m|zmmz*mi(n(i*mnt)*)*(i*n)*m|ntm*mm(zi*)*ntz*mt(z*zm)*)*,50,65,77,37,63
(dbp(ea*debdea|d)*)*(deddb|(dd)*a*deb|eb|(aa|d*pddba|adpbddpp|epdbpd*)*ba*a)*,50,56,62,41,53
a*z|aa(zna)*r*mmaazmm*rza(ar|a*z)*rz|(zm)*mmr|n*an*z*z|(a(zm)*z*rz)*(nmmm|a|nm*(z|nr)),50,46,54,37,45
o*q(pqqu)*|f(wwww*f*)*((q*t)*ypp)*(y*|u*y(ua)*fw*a|f*y(p*w*u)*|w*w|y)fqq|a|pu|(y|a)*wapf*(ou)*ufo,50,52,61,39,51
kv(r|d*f|wy*(r|d)*h*|(rk)*)*wd|v(r*r*vykh)*ff(u(rny)*|ww)r(d|dhwk|ykw*n*)*rf(vryn)*fvr|ny,50,39,47,38,38
(nchu|ss|n(usnhs|u*)*tny)*y|ut*a(u|yt)|h|au|m*u|gm|y|h(c|m*)uhucm(umm)*cyss(at)*y*h,50,37,48,36,36
(oqx|o|f*nxbnb(ci)*)*(oqoi*b|c*c*)*(b(c|q*blf)nnornn*(rc)*l*r)*nllqq*|q|(l|(bf)*)*(b|l(o|n)*bf)*,50,46,55,39,44
((kc(c|w)s|s(wo*w*)*jd)*(cio(jx)*ok)*w(r*s*(j|i))*xriiodc*doc*|(sodwjj*o*(sd)*)*(iod(o*s)*rdc)*)*,50,43,53,40,42
vww(wxb)*wnxxw(bb|(vs)*rb*xcs(ii)*lv(w|i)*)*|sxbn|bsrv*|vw*slws(i*cb*wvv)*l*icc,50,43,52,40,42
qba|kkzmz*pea|bt*z*zd|p|pb|b*mm*q(e|z)*|aak|kd(a|kt*mp*)*z|qb(q(k|k)*)*(qzq(qam*)*zk*d)*,50,31,45,33,30
cm(c|w(w*i)*)*o*wo|fwok*|x|(mlh*)*cc(ok)*l(lh)*ihfom*|hhf*l*fcow(x|micx)*xkmxhoxw,50,42,51,39,40
((et*ba|u|r)*buaw*|bb*v(xv*)*bu|xe(r|fwb(t*b)*|rw))*(uxx)*|((a*fu*vf)*ete)*ew|a*fx|(f|e)abwwv,50,44,55,38,43
(otoq)*t|mk*k|ulobmtl*gbo(k(xo)*(l|x)*g*(gxkmq)*bk*|(m|l))*x|kobqbqol(xb)*mk(u*ok|x)*,50,44,53,39,43
zmkdr(p*ni)*(y*(qc)*)*dxlmuzp((ld(gp)*)*ervtnxu)*(lzg)*jmbazpo*xfz(olv)*r|lcy((tnktvq)*ycl)*i*bvecwaix(pgs|d*yj|bguupnvi)*o*ips*i|owl(uf)*dozm*w|dbzv,100,86,102,85,85
irkzfywkfxvvhdi|bg|gs*raps*gapmd(xsjlztqdv*wesoxmn*u)*hmcfrpm*n*nkrjd*ebhktqj*ddi|ollvp(no)*|taoasesgtonwsmhqdal*kmz|jt|d,100,85,100,86,84
l|qb|mzdtfdqfzfqaghoqfcr|xbgukitas|eyemsjjgxuiwg|dgyjolj(uzkgequrs|jigq)*oklcx|gbf|kkh*ytw(zpuon)*ah(ktm)*uflbhvrkhya*i,100,88,101,88,87
(bf(ntmm)*j(oz(tug)*)*(arnho(g|t)|he|qcsh)q*i*ixsbgbvmdjluatlv*iffx(njsz)*h*vmpq|qbnlap|(yz*|vgs(ss)*)*ywyhruxthkjyvs|kdwfs(jp)*(bae*)*zcscrgb)*,100,84,99,85,84
escm(fgq)*ftnndmlevegkkm|(ed*bgc)*prabx*rjdipsjdpdphxkeptx|fbsj*oimzxbfxhiajv*ofxxijwf|jjgezrqcw*zomhgnbuyxgltpjlg*,100,91,100,92,90
r(ay)*uznrc(xd)*illg|b(ewg)*cssdbwsjuj*ntonnvwgbebkzp|ee(m*a)*hh*hzmpsrgcf*gzgv|dcycaokvnhcheuanzwhsi|wnxda|eaf*pphga*ty*w*rk,100,85,99,86,84
y*kqoqun*u(d|el)*sjycpvfowvaix|vpgyatcnnvcdo*qrdhzmenv*jwsenctbqlejn*cjkdsk(f|bxduw(pk*hmep)*)*lycad|lcfjlskqygueggdmbc,100,90,101,90,89
ruunzuckbi|hinmn(kry)*oeaq|dyvwj(oizj(wedkjm(ni)*qgm)*)*rclv(sjbkh)*scenzqch*bhv|jkwcmlsxugujhpcs|pik|dqvqrn|fglemnkxxbbhw,100,88,99,90,87
sbcgjszqsiofloyoi(gq)*lwirqeqdr(hn)*yue*|zzwf*hofibc(cragfxqkuau(xf*)*fgyx|f(ttn(n(a|r))*)*|nyhpmaffxlzg*(jshpysu)*(on*fclv|mt)*oc(ep)*kf)*,100,89,100,88,89
zb(pc)*n(qz)*d|pgebugz(fn)*gvzfejvmhgy|thyl(bg)*|mj*|hrb(l(hr)*)*r|ufoidjsbp|(w(ui|b)*)*k*tbtzvw|yitiuqjgy*gso(h*g)*fjuisoarehdphat(xiqamn|qm)*,100,85,101,85,84
cuztucf|ijjfok|vvayok|avoumgqpr(v|xxcqu)klm|zg|pdnnkx|ko|njfvah|uui|(rk|ic|jrlds|h|m|lyuo|l|f|xeov)kcct(b|p)jargdsbcgwygotfx|t,100,80,99,81,79
neddlklqm|heobjpzayujuzrlzc|bp|binan(k|f|epfpe)dvskovsfbrnroilwrcgm|fcuahgmcxwxzktolscuxaczqf|wujffcq|cjfyllcc,100,92,100,93,91
qdhuaadjcjvptxxrdufwedspi|ntszo|ikyrd|u|di|qyg|nsehidpmao|kbsr|k|vt|ajxnyfhvwpylrqoyvqlhmif|hxyf|wbrxhqqftxkpwvw,100,87,98,89,86
j|hv|ogdma|tagv|qy|fmkfayy|kp|kz|cd|lkspj(gkqdvafzq|spy|srsjcj|dp|nf|kb)bz|vo|pezt|skzupzbk|rzgox|orzzmlpjjjt|l|avkck|miq|pei,100,73,95,78,72
e|jiogwt|fsjcen|p|lshwpetdj|mflipcow|pwou|wxpjos|bhnwek|jlabeyrc|hbrqnl|u|onef|e|lc|ekav|f|n|jnfxys|qx|cgwba|cal|r|meia|rqwv,100,72,91,77,71
y|nprvhqobjoncua|j|vcj|lhqcgmd|usesxjjecksqdsic|tbtfqzymdiqqw|msrmmhbg|blrca|fud|uocajog|p|e|wcnnfsi|wdshgos|dqrjur,100,84,99,86,83
r|no|pryabufsi|edqcmims|i|v|yqoidtvczpye|wcthfobepozhot(m|o)opjb|ukcljtqlzydoohhgjujussuue|fxoecqvi|tbn|zvlduj|oqhg,100,88,101,88,87
emh|lqeh|ppdhfpocuczngfkx|poluaqb|fhh|nezcbsr|leksrqkyknv|ixzfysf|ujufeqb|fj|u|knyb|lrzlcgsgk|nelwhztjlvr|xk|xeejpq,100,79,93,86,78
(roqxfdxdyqwzxsffjdezc|f|hzmq|mpskyd)emxusnzm|plp|klduiwqvqtf|xzds|ds|r|txspmyjhsvyuqlyshi|ruchodkuajnenqkev|j|kfw,100,87,98,89,86
meri|q|kyz|dz|glwmkho|whyrgyduhbzz|v|vlbisypbqx(nc|sq)mi|jgash|zzyxmqny|ywpytv|ot|(vykq|telkr)ostflmrnkmaztpj|sbw|lc|xmuc,100,83,99,84,82
(usntrief(ehj)*d*e*hiqrm*)*wa(fc)*k*(qt)*(qousktu*coh*)*(im*(cy)*)*ofkp(mn)*zegn*(uk)*kjgte*(abrjnlpsj*xk*qtzb*lt*)*m(bew(q(eg)*m*y*)*)*sp*ue*kenskdk(i*qx*)*(in)*fo,100,85,102,84,84
y*acj*nai*yk*wzn(jxif)*iqkz(kjtrdum)*xvk(k*opsecuotp*i(nk)*fqemlgl*)*myn*x(rvxa)*(gxot)*qpsgfu*br*nuz(ly)*tzltg*vjrj(gm)*(ej)*m*tqp(o(pt)*)*meudz,100,84,101,84,83
(nex((g*f(vb)*)*(snz*)*g*y*vz*gmh*ujkaj(yg)*eox(nb)*yyb*ow*fz(a*y(lo)*)*qe(jmlq(jv)*)*yuudno(y*a)*sdn*ha*ep*lwpo*h(re)*(vmqxpj)*vnqkesu*b*ohr(t*w(h*t*m)*)*l*zbqj*cvg)*)*,100,81,101,81,81
wso(v(pd*)*)*qabyuba*yircp*kwwwiuuzyad*l*jgxxk(y*q)*rb((d(sb)*s*tpyiow(te)*)*e(qhfkgq)*)*ah*zir*mc*ydnwaxz*b*kxpns*jukw(qc)*pinjhbzk*gt*pbsuf*g,100,84,101,84,83
otg*i*ks((qeay)*ch)*r*nz*m*fm*y*ddtjncjcl*(podfdm)*((tc*rx*sekv)*psfs(sd*t(ly)*)*f(cpn)*(jw*m)*meo)*natfub*dq(d(hs*)*mmv*)*izbk*jyw*nb(sfp)*mfq*wllbfrmvi*q,100,82,101,82,81
ieiknk*kvechahfw(ajp)*y*qwfmac*cpndzyl(ebgx(bc(mg)*xj)*j*q(hqbdngje*qe)*(er)*wrd*zytdku*jmzyfrpw(ogj*q)*cle*ubky(vc*iv*pn)*jmpv(wm)*(nmhk)*)*,100,85,99,85,85
(jyqjb(efq)*q*g*ue(fm)*kqia)*(o*sn*e)*g(ndjnk)*xm*cx*ch(kh*w*jmjwxbktb(gbp)*jzfue*hk*(po)*su*tg*h(m(co)*)*deur)*y*exr(egbcc)*lckpjwkhxzkmkyddo(ho)*sv,100,84,101,84,83
hodw*lzt((rd*)*(bx)*)*vlabnuzmr*e(tzqzy*)*bkpq*us(zm*(rfkew(a(j*yi*)*)*fm)*)*kmxfrkkswem(l*z)*(j*we)*zf(uhig)*p*ansuio*m*kt(dd)*bte(w*n)*(y*r)*(vt)*(lkxi)*nta(kq)*tty,100,89,103,87,88
bwyeqdfu(jz)*kly*m*pd(zic*s*)*ql(vzd(fqj)*)*(erho)*rnjc((gcvspkva)*ra)*p*to(ltetc*l*clb(ttf*q)*)*aj*uz*pg(vo)*gyi*pltctj*u((xqa*kx)*gferx*aovndl*gs)*hb,100,86,102,84,85
vezsag*wz(h(o*w)*t*oy)*(gv*e)*(eola)*(nwf)*(jz*r)*hntapibil(xtp*(e*z*)*(zys)*lk)*(uc(gxd)*)*s*ce((x*f*)*tqc*wwlmzaklfy*cbzjdzoqy*dapwml(nnp)*)*ccmode*sj(rxl(tp)*)*,100,88,102,85,88
(uujmhv*m*|u*ngqn(g*i|ncsz((a|pm)(qmt(em)*fq|apx)*)*)*bd|wf*e(b*vc|rf(gdz|m|d|ffj)*|(j|xxajl|x)*((pu*u*)*l(j*|ye)*(ioxhhp|me(dv)*)*)*)*|kl|b(f|(u|d)*|(k|tvl|y)*|q(s*b(b*k*)*)*((j*v)*|ql)mdf*)*)|d|rvj,100,72,99,70,68
ev|uy|rihdz|vl*|ygwyxwr*t*kb(o|d)((dpmik*nov|hyuzmzzl|wdvc|lghg*p*hcp(u|jdia)*)*(xc(tb)*mz)*w(wc)*dnwziut*fjxh((uk|(ix)*)u(v|o*)*|jrt*|das|qv*|h|(gf)*t|kpr)y*i)*,100,78,101,78,77
((ol)*ovo|q(mu)*w|dapvh*x)*wssvb|gjbr*vjyvbqatm*ptoluj(c(pdgtn)*h*k|to*o)*|q*g*w|gnpf*ub*|fb*(kfaqp*jbgsezdh)*(m(g(dz)*)*)*pqg|db|(vz*lf)*q(wgs*zmho*)*bk|iv*|c,100,79,101,77,78
((jd|cg|t(rl)*)*lezewfa*r(u|abhttl)*kz*de*doy(pyh)*d(fn*|m)*b(m|r)*oiyzm(hw(b|h))*(uvt)*|(asxh|qgy)*|xj((h*(wq(fs)*)*)*(d*ye)*)*wyqt|m*slef|tfevn|kuc|kx|ye|(k|le)*ooilkgga)*,100,74,101,74,74
(z(p|ce|g)*((gum)*mm*ep*vk(d|(nsl)*))*qp*cldoq(vewxgg|xgrw*gb*(r((z|to)|st)*)*xof)*)*(in((h*|y*)*|q*w*)z|jw*|btox(aq)*ph)*bkmu*bcxv(d(sd*l)*)*wzi|c|gy(sn)*(c|vokj)*(w(sz*)*cnur|xq*(zp*g)*)*,100,75,100,75,74
((oz)*w|m(ef(ak)*a(oh*)*)*qxx(k*s)*twg*d*ddnfphw(vp)*y|p|b|vk*nei(o*w*ua)*|avkux*galh*l*|(px)*|pnx*m|nroei*(x*l)*f(cf)*)*|k(o|f)*|wqode((yf)*fa)*|irvewq|j|qcz*|ehkytugr*f(yh)*,100,77,99,77,76
uz|ly|kyqc|pvmh(fyi*g(qkkoqai|tbrkbsn)*)*(co)*(wre*u*hy*hhae*bs*nz|jw(y|xc(m(xw)*)*sq*ox|v)*)*((y(ky*p(cr)*)*)*(k|s|hl)*ciehdynlk(d*splls*cc|s)*(bqg(x*zyi)*ss|fbz*l)*)*,100,80,101,77,79
(j|y*srl*(i|l)*)*cr*z*vqra(wc|kdcm*n|vsbymzve*|xchgd(h|fi)cqxgsxt)*((y|(zc)*|pdp)*(crs*jf|(yl)*)*|gzzito(o|qq)(rmm(xu*cn|e*|m*)*)*x*du*(r|v)*|(x(n|fsx)*po)*s*v|qh(av)*wp*u*ao(zd)*)*,100,76,100,73,74
(jk*ov|(nss)*mq*|q)vyd(qz|o)*cf*|(g|dg|x*s)*z|szx*to|jrs|os*h|b*sp*|argurc(kc)*|npw*ua|nn(ekrh)*((hmpf*bnelmr(jz)*zf)*(wc)*(y|igsogi|nek((r|x)(fa)*)*)*)*(q|k)u*kujld(p|o)*yz*k*,100,71,99,71,70
(ynfze*(crk)*|klsxgloh(e*|sv)*bs*|v(hx(sfr|(g*g)*)*(unm((z|u)*|iv)*jr)*(k*y)*(v*(u|g)*(pdol)*)*|ocb|(n*dx)*pn(dt)*)*|qmqp|gvq*nyminj(k|th*|trdnopi)*skoxg((c|r)*gh)*vfp|(m|i)jqui(jk)*),100,78,99,78,76
iwiw((ii(wi)*)*(iiiwi)*((i*i(wi)*)*wwiw)*)*w|wiiwwii*iiwi*iwwi|i*ii*(iw)*iiw*ww*i|i*iw(iw)*iii*iiiii(wi)*wwwiiiwiwii*ww(w*w)*w(iwi*w)*w*wwwi(iw*)*iiiww*wi*i(iw)*,100,108,113,79,106
(cccccc|crr|c|rc*|r*c*cr*rccrrcc*ccrccrcccrcrcr*crcrcrccr(rc)*)*(rrccc)*c((c(rcc)*)*|rc(cc*)*)*crcr*cr(rccr*crrcc)*crc(rr*rcr)*rcrrrr*c*|((rc)*r*rcr*cr)*,100,182,188,85,175
(x(aa)*aaaxxaaaaax(a*xaaxxa(ax)*x*aax(aa)*(aaa*axxx*(aa)*(aa)*)*)*)*axaxx|(a(aa)*)*(xaxax)*(x(aa*)*|axaax(a*aa|aa*|a*x)*)aaaxax(xa)*((xxxaxax)*xxx|a*aax(xxa)*|(xa*(a*(a*a)*)*xx)*)*,100,176,183,86,175
df*d*|(fdf*)*(dd)*df((f*dd)*fff(fff*d*f*dfdf)*)*(ffdff)*fdf*fddd(ddfd)*ff(fddd)*fdfddf(df)*|fdddfddf*fdff*d|(fdd)*dddd*(f(df*)*ff*|fd|f*dd)*fd*fd|ddd*f(df)*(dfd*ff)*,100,386,403,82,372
((cq*q*cqcccqqqc|qqc|(qq|q)*cqqccqc|q*cqccqqc(cq)*cqc*qcc*ccq|qc*q*cqq*cc)*ccccqq(q*c)*qqcq*c|cqqq(cc)*cc)*c|qcccqqqccqqqqqcq*qcqcccqqcq,100,891,906,84,871
(jiijj(i|i)*)*j(((iiii)*jii*)*jii*)*ij*ij*jii*i*jijjjjijjj*ijjiiijjjjjii(ji*)*iiii*ijiijijj*|iii(jj)*j*iiiij*ijii*jijjjjijjjj*jiji|ji*jjjij,100,175,182,84,168
(xccxc(x|c|cxxx)*((x(cxcc*(x*x*)*cxcc)*)*(c(xc)*)*xcxx*x*x)*(xcc(xcxx)*c(cc)*xcxxxc*cxcccccxcxxccx(x(ccx)*)*x|cxcx*ccc*c|xc(xc)*x*x*)*)*cc(xx*)*xxcxxxxxcc(ccxxxc)*,100,171,186,83,168
((ee*e*yy*ye(ye)*y*y*(ey)*y*e*yy*eeyeyeeyee(y*e)*ey(ye(ye)*)*eey*ey*y(ee*)*eye(ee)*)*(y(yyy)*)*y*ye(eey)*((ee(yyye*y*eyey*y)*(yyye(yeey*e*)*)*yye*)*ey*((yyy)*eyy(e*yee*)*ee(eyyy)*)*)*)*,100,1750,1794,81,1668
h(hh*)*h(wh*)*whh|whw((ww)*(h(h(hh)*)*www)*(wwww)*(hw*h(h*h)*)*)*whwh*hhw(hw)*h*w(hh*)*h*h*hwhh(hh)*wwhhhwwh|(ww)*w*w(ww*ww*)*hw((hh)*(ww)*hwhw|h(whwwww)*)wwhh(wh)*whw(whw)*|h*h(w|h),100,234,259,81,231
hohhh(oh*)*(oh)*ooo(ho)*hohhhhohhhohoo(o*|hh*|o)*h(ho)*ohhhoh(oohhoo)*oho*ohoo|ooh*o*hoh(oh*ho*)*hh(h*hoh*o)*h|ohohoho(h*(hh)*(oo)*|hh)*ohhho*h*h(h*h)*oh(ho)*,100,124,133,80,121
((((tz*vr(rr)*)*x(v*r)*(vt(vt)*)*)*(zt)*rz*)*t*tz|(v(z*v)*(zr)*(xr(zz)*)*x(xvz)*|t(rz)*(xr*zrx)*tvt*tv*v(x(r(xz)*xtzrv)*vxzr)*t(x*(rx(v*v)*)*)*tzzxtrtxvx*z*zx(vtt)*x*x*vzt((xt(rvv)*)*tv)*xzx*xrz*)*)*,100,103,117,77,102
t*e*|e*e(tmv*t)*((yvt)*mt(tmt)*)*vttymv*e*tmtyetmte*mymt*vvtet*tvtv*|vmt(y(mv)*)*y(ev(e(ty)*)*)*vvteetee*m*myy(mtetyt(myett)*(vev|ty*yeye*tv|m)*|vvvm)*(mytv)*,100,88,99,84,88
(((byy)*bbwbw)*(wbybw*(i*biky*|iw|yw*yiwb*ikwi*k)*)*)*(((b(iy)*)*ib((ii*yb)*w|b(b*b)*)*i*k)*i*w*yyiki|wkww(y|iywyyw*ikiwi)*)*i(kb*)*wykwy|bki|(wiiiyii*)*(yi*y(iw)*k*wb|yikby)*,100,126,139,82,122
(((v(qo)*(ovqa)*qaoc)*((oq)*(covov|aq)*vvoqvvqqc(aa*o)*coq(cq*q)*|acc|q*ovq(c*|a)*(c|a)*vvqo*avcq)*)*(ovov(qq)*aaccvavvva(cccq|aoaq*q*(coqavc)*av|a)*v*vaqoovvc)*)*,100,84,96,82,81
((gg)*rqwf*gf|frqqgq(rw)*)*wwrgg|(gq)*qrqwf(gf)*qr(qr)*w*|(rrg)*wf(g*r|rr)*qqq(f*gr)*qf(fwgw)*rgrfg*(fqqwww)*(gggw(wf)*(gq)*grwfr(fr*f)*gw*q)*(rwg)*grwgwgwg*(wqg)*,100,95,108,87,94
w(zxuu(ww*)*(zuwup*)*)*(zwx*p)*|z*(xp(uw)*)*(zp(ww)*upwzwzp*u)*pp|w(uz(up)*)*xuwp*(wu|p(p*p)*pw(w*((pwu)*xxu)*)*)x(upz)*(xxxwwppwxx*zz*)*w*uzwzu*xw(wx)*wu*uuz|z*(uz)*uuw*uup*(wx)*,100,80,96,81,79
(my|(e(em*)*)*ve(im)*m*imv|(i*me*(iim)*(mv)*m*v*m*ev*eeemeiievi)*((yvyyi)*viyee*(m(ie*)*)*(y*m)*my(y|m)*|meyevi)*y*vimy)*ee|mye(vm)*v*ee(vv)*v*yy(evim)*|(eemvv*iieevi)*m|miy,100,117,126,85,114
((ittitl)*(l*(o*b)*)*tbo*tb((bb)*io)*tlot*t(bl)*bl*o(t*oio(l|tl)*tllo*tto*o((oob*(ti)*)*oiltl)*tl)*tibi|(o*bl(ll)*(l(lli)*l|o|tb)*lbo(t((tlib)*b(ii(tii*lot)*li)*)*)*)*l|l(ot)*tl|boi)*,100,115,130,76,115
j*ww*fvjw*uuju*jjvv|vuu(vj*u)*((vu(jwuw*)*)*ffw(jj)*wujwwuj*|w(f*wjv)*vw(wu*uwwvf*u(ju)*)*(vuufjvwvw)*ujv*(juv)*u|u*|jw(f*u*jjv)*vwfj*(vwj)*ffwfj*uj*uv(vv)*vw)*,100,91,108,81,90
id|vchcd(iic)*hc|icvh(dvc*hvd*cc*dvid*cdivvccdi*|(ih)*h*ih*dc)*ci|dchcvvvcv*cvhid*h*v*d*v|(h*vccih|vc*i(ih)*)*iv|i|chdv(v|h*idichh*h)*hi(cc)*(vv)*(hcc)*,100,92,106,80,88
(qdan(c*gx)*j*jm*(xgda*gc*jgqcmaq(j*j)*cl*angnm*)*)*(gl|n)*xncl*l*cg*ca*c(j|j)*(m|l)*acdq(qx)*q*ql*dmnl*m(cm)*(a*|gaj)*(anan)*mg(clq)*gj(mgca*|j)*gm(an)*lgqdmq*djd*(qj)*,100,77,96,76,75
(fwnbklf)*jszs*b*zwkszz((j*bl)*|fj)*((wjwf*jj)*lsnyyl(jlny*(zf(s*z)*)*y*nfl)*fb(sk)*|ss|jby*(ff)*bwyj*(y(fj)*)*kjk(bzn|sjs)*(kzsyw)*lb)*jyssssfwjk(bwbw*sn)*lz|l,100,87,103,84,85
(wm*eeth*ekbmkh*em(kh)*d(mh*(td*)*)*g*t*d*ehbmnbw(m(t*h)*)*dgnektb*ke(e*t)*(nwmhtn)*mhgkwwh(tnh)*hg*|tw*kdb|e*ntnbbmeb(gw)*dwb|tkk((ng*)*w*wg)*(gwtbgh(mk(be)*)*)*)*,100,85,101,83,84
mmya((azn)*ydo)*mjdaeae*zd(oe)*ymj*me(a(j|jd)*)*s|(z*m)*sd(dzjs)*s|jzsj|dmzj(mj)*onmz((o(jj)*)*mjs)*(deoy(aa*y*msy*ysa(ej)*)*neoyje(mj*)*o(do|yy)*az(ez)*(ss)*)*(ojmesy)*,100,84,101,82,83
((tet*f(to(b|j)*)*)*c*acb*tc*feeetf*kpfate*ot*o*otkj)*(ja*co)*eecaaf(f*af*k*ottac|at|p)*(j(kbck|fpp|tfa*ab)*kfebottbeoatacj(abb*)*aaea(kcj)*j*o*epaff)*,100,78,97,81,78
(bskausr*b*(ws*)*)*(bb(uj)*uwkgu)*j(ju)*jbwobw(a(k*j|u)*bk*|ur*ssub(sa)*)*ao|o(uj)*gag(((ka)*bwgob)*jku(jo)*aba|agjbsg*b*sauw)*o(krj)*(uw(jj)*)*kskuruj*|a|wwrsubsj,100,81,99,82,80
hp*(k|b*(e|z)*e*j)(it)*etz(et)*t(hi)*hz(p*k*)*tt*j*(i*p)*zz(ttcjh)*cepbjeip((t*c)*(je)*)*z*k*bk*pete*t(e|tzet*kjtbcz*kb)*khhpkejj(pi)*(ejc)*jcpjb|t(jk)*((c*czk*hek)*kkzp)*,100,78,98,80,76
cxgkxg*uk(gx)*ug(secw)*|(vekeu)*xv(v|s)g(ec)*oc|ew*(e*w*u|(os)*xcs*ku)*|kuxkkcgcww*koo(v*xu*ogkvvsuo*e*(gg)*)*okgw*ek((gws)*(e(ue)*)*)*ex*sc*xk(gsx|s|x)*wuvkv*oc*e,100,82,100,79,80
upnuppv((hhnq*)*|(uhng)*nvhuvugwww*)*gt*gu*gt*(p|u)ny(yyyu)*u(nn(nt)*tt*)*hvw*ggyyg*(uw)*(vvhp(v*wyh)*)*(t*g)*q*wyn*v|u(vvy)*thq*w|(wuv*y)*hp*tph|n*q(vvy)*(pq)*(p(wn)*wn)*,100,84,102,80,82
y*(y(oi)*)*vwo(ei*y)*(h(yev)*(e*n*b(ol)*)*)*hyo*hynv|n*yiew(iw)*w*hvvey*(i*b*h*hvliei*i)*(h(hn)*)*h(oleiovn(ly)*)*(hvi*yv|(ho)*eyv*iwhe)*lw*l|(inb)*wlvw*o((y*y|lw)*n|hn)*enb*w*iw,100,85,102,79,82
jjj(v*|vv)*(jvv|jv(vvj*)*)*v*v(v*(v*j)*)*(j(vv*)*vj)*jvjjjjj|j*j(jvjvv)*vvvj|jv|vvvjvjjvj|v|v*((v*jv)*jj)*jjv*(jj)*(jvj|j)*j*(jjv)*((j*vj)*vvv)*(jv|j)*(v|vjj)*jj*(j(jjj)*jvv)*vv*|jvv,100,617,667,82,581
